metric,min,max,mean,p90
performance,68.0,78.0,72.6,76.8
lcp,2663.8099999999995,3685.640499999999,3061.5627,3426.0416999999993
fcp,1075.0045,1272.5335,1151.7657,1246.3429
tbt,96,182,146.2,182.0
cls,0.006745723332876836,0.025714174965313058,0.011214152349246675,0.018872917252315262
si,1963.3843119350115,2734.0568560380734,2334.632846495682,2589.6858386111603
