metric,min,max,mean,p90
performance,71.0,75.0,73.33,74.8
lcp,3015.17,3414.31,3260.98,3402.14
fcp,1003.51,1205.66,1079.6,1170.45
tbt,97,166,124.0,154.6
cls,0.0,0.03,0.01,0.03
si,2157.96,2375.18,2259.41,2349.16
