metric,min,max,mean,p90
performance,83.0,88.0,85.0,87.2
lcp,1660.38,2156.54,1982.47,2151.33
fcp,996.54,1020.38,1009.14,1018.4
tbt,32,37,34.33,36.4
cls,0.0,0.01,0.0,0.01
si,2029.81,2293.16,2138.43,2252.99
