metric,min,max,mean,p90
performance,75.0,77.0,75.67,76.6
lcp,2921.09,3742.51,3220.53,3593.61
fcp,1027.74,1078.69,1045.65,1069.06
tbt,74.0,145.0,100.0,132.2
cls,0.01,0.02,0.01,0.02
si,1956.92,2089.53,2018.73,2073.57
