metric,min,max,mean,p90
performance,87.0,91.0,89.0,90.6
lcp,1209.4,1797.06,1503.23,1738.3
fcp,997.34,1083.16,1040.25,1074.58
tbt,26.0,41.5,33.75,39.95
cls,0.01,0.01,0.01,0.01
si,2037.04,2106.38,2071.71,2099.45
