metric,min,max,mean,p90
performance,86.0,93.0,89.5,92.3
lcp,1196.58,1269.29,1232.94,1262.02
fcp,996.58,1029.29,1012.94,1026.02
tbt,19.5,22.5,21.0,22.2
cls,0.01,0.01,0.01,0.01
si,1951.14,6328.93,4140.04,5891.15
